	pdb_file	monomer_file	chain_id	res_num	rsa_complex	rsa_monomer
0	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	68	0.07692307692307693	0.7461538461538462
1	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	68	0.07692307692307693	0.7461538461538462
2	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	70	0.014814814814814815	0.22962962962962963
3	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	69	0.06338028169014084	0.6267605633802817
4	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	69	0.06338028169014084	0.6267605633802817
5	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	66	0.24468085106382978	0.4734042553191489
6	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	2	0.0	1.0140845070422535
7	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	2	0.0	1.0140845070422535
8	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	2	0.0	1.0140845070422535
9	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	2	0.0	1.0140845070422535
10	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	68	0.07692307692307693	0.7461538461538462
11	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	68	0.07692307692307693	0.7461538461538462
12	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	4	0.2887323943661972	0.9295774647887324
13	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	4	0.2887323943661972	0.9295774647887324
14	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	4	0.2887323943661972	0.9295774647887324
15	../../Binding_Affinity/data/complexes/2J0T_A_D.pdb	../../Binding_Affinity/data/chain/2J0T_D.pdb	D	4	0.2887323943661972	0.9295774647887324
16	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_E.pdb	E	487	0.007042253521126761	0.2887323943661972
17	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_E.pdb	E	479	0.18471337579617833	0.33121019108280253
18	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_E.pdb	E	360	0.6446700507614214	0.6446700507614214
19	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_E.pdb	E	344	0.775609756097561	0.775609756097561
20	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_E.pdb	E	535	0.046153846153846156	0.36923076923076925
21	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_E.pdb	E	535	0.046153846153846156	0.36923076923076925
22	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_E.pdb	E	498	0.0045045045045045045	0.2747747747747748
23	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_A.pdb	A	41	0.0	0.22522522522522523
24	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_A.pdb	A	41	0.0	0.22522522522522523
25	../../Binding_Affinity/data/complexes/2AJF_A_E.pdb	../../Binding_Affinity/data/chain/2AJF_A.pdb	A	38	0.15337423312883436	0.4171779141104294
26	../../Binding_Affinity/data/complexes/4ZS6_HL_A.pdb	../../Binding_Affinity/data/chain/4ZS6_A.pdb	A	536	0.1111111111111111	0.6060606060606061
27	../../Binding_Affinity/data/complexes/4ZS6_HL_A.pdb	../../Binding_Affinity/data/chain/4ZS6_A.pdb	A	540	0.3738738738738739	0.5720720720720721
28	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_A.pdb	A	41	0.07207207207207207	0.24324324324324326
29	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_A.pdb	A	41	0.07207207207207207	0.24324324324324326
30	../../Binding_Affinity/data/complexes/3KBH_A_E.pdb	../../Binding_Affinity/data/chain/3KBH_A.pdb	A	38	0.3803680981595092	0.4049079754601227
31	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	75	0.0	0.3630573248407643
32	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	68	0.14012738853503184	0.5159235668789809
33	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	124	0.19745222929936307	0.9681528662420382
34	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	121	0.0	0.21195652173913043
35	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	84	0.2828282828282828	0.5808080808080808
36	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	79	0.21951219512195122	0.4878048780487805
37	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_A.pdb	A	77	0.14146341463414633	0.6048780487804878
38	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	87	0.018292682926829267	0.8048780487804879
39	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	83	0.005154639175257732	0.4639175257731959
40	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	54	0.5317073170731708	0.6439024390243903
41	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	47	0.005154639175257732	0.3247422680412371
42	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	43	0.0	0.5070422535211268
43	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	40	0.0	0.4846153846153846
44	../../Binding_Affinity/data/complexes/5M2O_A_B.pdb	../../Binding_Affinity/data/chain/5M2O_B.pdb	B	39	0.0	0.5562130177514792
45	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	18	0.16568047337278108	0.3609467455621302
46	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	18	0.16568047337278108	0.3609467455621302
47	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	5	0.647887323943662	0.9788732394366197
48	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	3	0.823943661971831	0.9366197183098591
49	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	2	0.3136094674556213	0.8994082840236687
50	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	2	0.3136094674556213	0.8994082840236687
51	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	1	0.7134146341463414	0.9085365853658537
52	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	1	0.7134146341463414	0.9085365853658537
53	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	27	0.047337278106508875	0.26627218934911245
54	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	21	0.005917159763313609	0.5088757396449705
55	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	21	0.005917159763313609	0.5088757396449705
56	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	36	0.02830188679245283	0.24528301886792453
57	../../Binding_Affinity/data/complexes/3BK3_A_C.pdb	../../Binding_Affinity/data/chain/3BK3_C.pdb	C	27	0.047337278106508875	0.26627218934911245
58	../../Binding_Affinity/data/complexes/5F4E_A_B.pdb	../../Binding_Affinity/data/chain/5F4E_B.pdb	B	163	0.33170731707317075	0.48292682926829267
